Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 20:00",48663,48711,48559,48589,-73.,-0.15%,6534
"2026-03-04 16:00",48788,48886,48634,48662,-149.,-0.31%,6133
"2026-03-04 12:00",48884,48903,48745,48811,-73.,-0.15%,22540
"2026-03-04 08:00",48684,48916,48401,48884,199,+0.41%,57982
"2026-03-04 04:00",48506,48743,48452,48685,177,+0.36%,23107
"2026-03-04 00:00",48356,48514,48266,48508,148,+0.31%,15184
"2026-03-03 20:00",48425,48456,48291,48360,-63.,-0.13%,6699
"2026-03-03 16:00",48475,48594,48354,48423,-66.,-0.14%,8352
"2026-03-03 12:00",48361,48755,48356,48489,130,+0.27%,40525
"2026-03-03 08:00",48079,48406,47681,48359,281,+0.58%,93713
"2026-03-03 04:00",48159,48313,47951,48078,-78.,-0.16%,34014
"2026-03-03 00:00",48577,48609,48136,48156,-418.,-0.86%,26054
"2026-03-02 20:00",48719,48730,48547,48574,-141.,-0.29%,7611
"2026-03-02 16:00",48928,48935,48715,48715,-212.,-0.43%,4190
"2026-03-02 12:00",49006,49121,48811,48927,-80.,-0.16%,32024
"2026-03-02 08:00",48463,49046,48411,49007,543,+1.12%,65780
"2026-03-02 04:00",48432,48582,48410,48464,28,+0.06%,11443
"2026-03-02 00:00",48514,48530,48166,48436,-74.,-0.15%,16945
"2026-03-01 20:00",48705,48730,48507,48510,-193.,-0.40%,5596
"2026-03-01 16:00",48451,48728,48391,48703,-206.,-0.42%,11945
"2026-02-27 12:00",48867,49024,48789,48909,41,+0.08%,33427
"2026-02-27 08:00",49032,49124,48699,48868,-166.,-0.34%,64115
"2026-02-27 04:00",49327,49332,48926,49034,-295.,-0.60%,17220
"2026-02-27 00:00",49294,49396,49250,49329,35,+0.07%,5538
"2026-02-26 20:00",49253,49334,49253,49294,45,+0.09%,2006
"2026-02-26 16:00",49336,49336,49205,49249,-102.,-0.21%,5161
"2026-02-26 12:00",49288,49599,49272,49351,63,+0.13%,32530
"2026-02-26 08:00",49634,49872,49261,49288,-347.,-0.70%,76309
"2026-02-26 04:00",49476,49665,49458,49635,160,+0.32%,7116
"2026-02-26 00:00",49425,49505,49399,49475,51,+0.10%,6135
"2026-02-25 20:00",49467,49472,49412,49424,-41.,-0.08%,1457
"2026-02-25 16:00",49483,49530,49412,49465,-30.,-0.06%,3013
"2026-02-25 12:00",49524,49583,49467,49495,-29.,-0.06%,19851
"2026-02-25 08:00",49410,49532,49240,49524,114,+0.23%,48167
"2026-02-25 04:00",49305,49416,49269,49410,104,+0.21%,6492
"2026-02-25 00:00",49220,49310,49209,49306,85,+0.17%,3328
"2026-02-24 20:00",49272,49290,49124,49221,-54.,-0.11%,3060
"2026-02-24 16:00",49206,49277,49187,49275,72,+0.15%,2273
"2026-02-24 12:00",49270,49343,49189,49203,-68.,-0.14%,20266
"2026-02-24 08:00",49007,49311,48801,49271,263,+0.54%,65006
"2026-02-24 04:00",48933,49022,48876,49008,74,+0.15%,11113
"2026-02-24 00:00",48910,48957,48823,48934,27,+0.06%,8548
"2026-02-23 20:00",48896,48951,48886,48907,15,+0.03%,2433
"2026-02-23 16:00",48903,48921,48867,48892,6,+0.01%,3050
"2026-02-23 12:00",48920,49063,48775,48886,-34.,-0.07%,40247
"2026-02-23 08:00",49474,49765,48813,48920,-555.,-1.12%,76495
"2026-02-23 04:00",49542,49586,49383,49475,-67.,-0.14%,6766
"2026-02-23 00:00",49377,49555,49371,49542,163,+0.33%,5713
"2026-02-22 20:00",49390,49411,49341,49379,-11.,-0.02%,3155
"2026-02-22 16:00",49642,49671,49386,49390,-290.,-0.58%,5585
"2026-02-20 12:00",49485,49719,49358,49680,193,+0.39%,32838
"2026-02-20 08:00",49369,49775,49204,49487,117,+0.24%,77248
"2026-02-20 04:00",49524,49538,49312,49370,-154.,-0.31%,9063
"2026-02-20 00:00",49551,49604,49507,49524,-25.,-0.05%,4305
"2026-02-19 20:00",49499,49553,49485,49549,51,+0.10%,1864
"2026-02-19 16:00",49432,49527,49427,49498,77,+0.16%,2173
"2026-02-19 12:00",49350,49494,49258,49421,67,+0.14%,23057
"2026-02-19 08:00",49552,49673,49330,49354,-197.,-0.40%,53646
"2026-02-19 04:00",49628,49637,49517,49551,-79.,-0.16%,9422
"2026-02-19 00:00",49737,49788,49585,49630,-107.,-0.22%,4841
"2026-02-18 20:00",49726,49751,49678,49737,14,+0.03%,1871
"2026-02-18 16:00",49697,49756,49675,49723,13,+0.03%,2097
"2026-02-18 12:00",49897,49930,49592,49710,-188.,-0.38%,28810
"2026-02-18 08:00",49641,49967,49489,49898,258,+0.52%,42566
"2026-02-18 04:00",49824,49874,49623,49640,-187.,-0.38%,9461
"2026-02-18 00:00",49653,49873,49643,49827,174,+0.35%,5400
"2026-02-17 20:00",49588,49669,49570,49653,67,+0.14%,1701
"2026-02-17 16:00",49619,49631,49542,49586,-38.,-0.08%,2417
"2026-02-17 12:00",49536,49761,49449,49624,88,+0.18%,25357
"2026-02-17 08:00",49480,49794,49240,49536,56,+0.11%,69534
"2026-02-17 04:00",49582,49594,49345,49480,-98.,-0.20%,11312
"2026-02-17 00:00",49378,49603,49371,49578,200,+0.41%,6074
"2026-02-16 20:00",49438,49492,49359,49378,-65.,-0.13%,4690
"2026-02-16 16:00",49606,49691,49421,49443,-163.,-0.33%,3825
"2026-02-16 08:00",49766,49771,49556,49606,-163.,-0.33%,13163
"2026-02-16 04:00",49800,49804,49725,49769,-31.,-0.06%,2464
"2026-02-16 00:00",49614,49820,49611,49800,184,+0.37%,2835
