Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 13:00",6876.8,6881.57,6869.26,6880.34,3.38,+0.05%,0
"2026-03-04 12:00",6872.75,6878.43,6861.37,6876.96,4.23,+0.06%,0
"2026-03-04 11:00",6872.52,6880.38,6856.84,6872.73,-0.28,0.00%,0
"2026-03-04 10:00",6829.85,6877.23,6824.69,6873.01,43.88,+0.64%,0
"2026-03-04 09:00",6831.69,6848.04,6811.64,6829.13,12.5,+0.18%,0
"2026-03-03 16:00",6816.35,6816.78,6816.35,6816.63,0.04,0.00%,0
"2026-03-03 15:00",6827.03,6833.46,6806.83,6816.59,-10.33,-0.15%,0
"2026-03-03 14:00",6826.56,6840.05,6808.12,6826.92,0.43,+0.01%,0
"2026-03-03 13:00",6788.73,6832.92,6788.73,6826.49,37.84,+0.56%,0
"2026-03-03 12:00",6789.89,6799.01,6776.45,6788.65,-1.32,-0.02%,0
"2026-03-03 11:00",6733.4,6798,6731.81,6789.97,56.87,+0.84%,0
"2026-03-03 10:00",6736.82,6751.74,6710.42,6733.1,-3.85,-0.06%,0
"2026-03-03 09:00",6800.26,6800.26,6733.72,6736.95,-144.67,-2.10%,0
"2026-03-02 16:00",6879.42,6881.62,6879.42,6881.62,1.57,+0.02%,0
"2026-03-02 15:00",6896.94,6898.17,6864.78,6880.05,-16.95,-0.25%,0
"2026-03-02 14:00",6868.62,6901.01,6867.6,6897,28.31,+0.41%,0
"2026-03-02 13:00",6887.62,6889.03,6868.09,6868.69,-18.98,-0.28%,0
"2026-03-02 12:00",6878.11,6888.32,6873.02,6887.67,9.52,+0.14%,0
"2026-03-02 11:00",6857.6,6884.65,6845.12,6878.15,20.62,+0.30%,0
"2026-03-02 10:00",6845.18,6868.53,6835.61,6857.53,12.06,+0.18%,0
"2026-03-02 09:00",6824.36,6849.05,6796.85,6845.47,-33.41,-0.49%,0
"2026-02-27 16:00",6878.41,6878.91,6878.37,6878.88,0.84,+0.01%,0
"2026-02-27 15:00",6848.81,6882.96,6848.81,6878.04,29.04,+0.42%,0
"2026-02-27 14:00",6854.86,6865.28,6845.6,6849,-5.87,-0.09%,0
"2026-02-27 13:00",6859.03,6861.42,6846.02,6854.87,-4.2,-0.06%,0
"2026-02-27 12:00",6863.76,6877.6,6848.5,6859.07,-4.83,-0.07%,0
"2026-02-27 11:00",6867.58,6877.38,6861.19,6863.9,-3.93,-0.06%,0
"2026-02-27 10:00",6843.93,6875.4,6841.96,6867.83,23.14,+0.34%,0
"2026-02-27 09:00",6856.54,6857.04,6831.74,6844.69,-64.17,-0.93%,0
"2026-02-26 16:00",6909.24,6909.24,6908.85,6908.86,-0.15,0.00%,0
"2026-02-26 15:00",6906.29,6913.71,6902.19,6909.01,2.6,+0.04%,0
"2026-02-26 14:00",6889.92,6912.57,6887.92,6906.41,16.54,+0.24%,0
"2026-02-26 13:00",6871.06,6897.17,6864.14,6889.87,18.71,+0.27%,0
"2026-02-26 12:00",6877.97,6886.21,6866.6,6871.16,-6.66,-0.10%,0
"2026-02-26 11:00",6893.4,6906.7,6876.3,6877.82,-15.45,-0.22%,0
"2026-02-26 10:00",6922.89,6925.87,6859.73,6893.27,-30.01,-0.43%,0
"2026-02-26 09:00",6944.74,6947.25,6920.74,6923.28,-22.85,-0.33%,0
"2026-02-25 17:00",6946.13,6946.13,6946.13,6946.13,0,0.00%,0
"2026-02-25 16:00",6946.53,6946.61,6946.12,6946.13,-0.76,-0.01%,0
"2026-02-25 15:00",6947.75,6952.51,6944.4,6946.89,-0.84,-0.01%,0
"2026-02-25 14:00",6941.86,6949.84,6941.72,6947.73,5.89,+0.08%,0
"2026-02-25 13:00",6942.08,6943.33,6938.83,6941.84,-0.25,0.00%,0
"2026-02-25 12:00",6937.24,6942.25,6935.25,6942.09,4.86,+0.07%,0
"2026-02-25 11:00",6924.93,6940.44,6923.3,6937.23,12.31,+0.18%,0
"2026-02-25 10:00",6929.67,6932.23,6918.36,6924.92,-4.94,-0.07%,0
"2026-02-25 09:00",6915.15,6936.2,6915.15,6929.86,39.79,+0.58%,0
"2026-02-24 16:00",6890.05,6890.45,6890.05,6890.07,-0.97,-0.01%,0
"2026-02-24 15:00",6887.64,6899.17,6881.47,6891.04,3.38,+0.05%,0
"2026-02-24 14:00",6890.71,6892.82,6883.12,6887.66,-3.07,-0.04%,0
"2026-02-24 13:00",6890.48,6897.22,6885.91,6890.73,0.24,0.00%,0
"2026-02-24 12:00",6880.61,6894.1,6880.27,6890.49,9.62,+0.14%,0
"2026-02-24 11:00",6870.03,6884.68,6867.72,6880.87,10.79,+0.16%,0
"2026-02-24 10:00",6847.27,6881.85,6837.49,6870.08,22.2,+0.32%,0
"2026-02-24 09:00",6837.37,6870.29,6815.43,6847.88,10.13,+0.15%,0
"2026-02-23 16:00",6839.2,6839.2,6837.75,6837.75,-1.84,-0.03%,0
"2026-02-23 15:00",6826.65,6839.59,6822.89,6839.59,13.06,+0.19%,0
"2026-02-23 14:00",6836.35,6838.6,6821.78,6826.53,-9.76,-0.14%,0
"2026-02-23 13:00",6836.23,6855.55,6835.22,6836.29,0.1,0.00%,0
"2026-02-23 12:00",6835.94,6840.55,6821.81,6836.19,0.34,0.00%,0
"2026-02-23 11:00",6838.63,6847.47,6819.82,6835.85,-3.,-0.04%,0
"2026-02-23 10:00",6881.35,6887.94,6838.28,6838.85,-43.05,-0.63%,0
"2026-02-23 09:00",6901.25,6916.96,6880.2,6881.9,-27.61,-0.40%,0
"2026-02-20 16:00",6910.07,6910.07,6909.5,6909.51,-0.71,-0.01%,0
"2026-02-20 15:00",6897.23,6910.3,6897.17,6910.22,12.99,+0.19%,0
"2026-02-20 14:00",6909.8,6914.04,6895.31,6897.23,-12.45,-0.18%,0
"2026-02-20 13:00",6891.48,6915.86,6875.72,6909.68,18.22,+0.26%,0
"2026-02-20 12:00",6902.26,6904.69,6858.51,6891.46,-10.59,-0.15%,0
"2026-02-20 11:00",6905.83,6908.82,6876.36,6902.05,-3.83,-0.06%,0
"2026-02-20 10:00",6865.14,6909.87,6859.51,6905.88,40.11,+0.58%,0
"2026-02-20 09:00",6843.26,6869.98,6836.33,6865.77,3.88,+0.06%,0
"2026-02-19 17:00",6861.89,6861.89,6861.89,6861.89,0,0.00%,0
"2026-02-19 16:00",6861.94,6861.94,6861.85,6861.89,0.24,0.00%,0
"2026-02-19 15:00",6842.56,6861.73,6842.46,6861.65,19.07,+0.28%,0
"2026-02-19 14:00",6854.41,6857.26,6836.87,6842.58,-11.98,-0.17%,0
"2026-02-19 13:00",6841.03,6854.95,6833.06,6854.56,13.81,+0.20%,0
"2026-02-19 12:00",6852.52,6864.05,6838.78,6840.75,-11.8,-0.17%,0
"2026-02-19 11:00",6869.9,6874.98,6844.67,6852.55,-17.4,-0.25%,0
"2026-02-19 10:00",6867.32,6879.12,6855.21,6869.95,2.57,+0.04%,0
"2026-02-19 09:00",6861.34,6875.99,6842.82,6867.38,-13.93,-0.20%,0
"2026-02-18 16:00",6880.27,6881.32,6880.27,6881.31,1.65,+0.02%,0
"2026-02-18 15:00",6863.52,6889.75,6857.45,6879.66,16.49,+0.24%,0
"2026-02-18 14:00",6887.68,6891.67,6858.68,6863.17,-24.84,-0.36%,0
"2026-02-18 13:00",6903.01,6909.12,6879.32,6888.01,-14.73,-0.21%,0
"2026-02-18 12:00",6893.91,6906.88,6892.67,6902.74,8.93,+0.13%,0
"2026-02-18 11:00",6903.91,6907.85,6893.37,6893.81,-10.08,-0.15%,0
"2026-02-18 10:00",6880.7,6905.73,6880.08,6903.89,23.64,+0.34%,0
"2026-02-18 09:00",6855.48,6882.2,6849.66,6880.25,37.03,+0.54%,0
"2026-02-17 16:00",6843.51,6844.11,6843.22,6843.22,-2.81,-0.04%,0
"2026-02-17 15:00",6853.7,6858.9,6837.73,6846.03,-7.58,-0.11%,0
"2026-02-17 14:00",6858.87,6866.99,6852.5,6853.61,-4.89,-0.07%,0
"2026-02-17 13:00",6828.27,6865.17,6816.76,6858.5,30.29,+0.44%,0
"2026-02-17 12:00",6842.73,6843.09,6809.67,6828.21,-14.53,-0.21%,0
"2026-02-17 11:00",6803.71,6849.56,6802.78,6842.74,39.3,+0.58%,0
"2026-02-17 10:00",6783.56,6814.84,6775.5,6803.44,19.56,+0.29%,0
"2026-02-17 09:00",6819.86,6845.24,6783.33,6783.88,-52.29,-0.76%,0
"2026-02-13 16:00",6835.71,6836.17,6835.71,6836.17,1.09,+0.02%,0
"2026-02-13 15:00",6842.84,6851.53,6817.63,6835.08,-7.74,-0.11%,0
"2026-02-13 14:00",6866.49,6872.82,6842.4,6842.82,-23.79,-0.35%,0
"2026-02-13 13:00",6869.82,6880.94,6860.66,6866.61,-3.14,-0.05%,0
"2026-02-13 12:00",6866.45,6881.96,6864.5,6869.75,2.9,+0.04%,0
"2026-02-13 11:00",6843.9,6873.75,6838.23,6866.85,22.39,+0.33%,0
"2026-02-13 10:00",6817.69,6864.25,6817.69,6844.46,27.89,+0.41%,0
"2026-02-13 09:00",6834.27,6846.77,6794.55,6816.57,-16.19,-0.24%,0
"2026-02-12 16:00",6832.64,6832.77,6832.62,6832.76,-0.78,-0.01%,0
"2026-02-12 15:00",6871.04,6874.64,6824.04,6833.54,-37.26,-0.54%,0
"2026-02-12 14:00",6866.96,6879.13,6856.33,6870.8,3.97,+0.06%,0
"2026-02-12 13:00",6849.61,6873.13,6842.45,6866.83,17.03,+0.25%,0
"2026-02-12 12:00",6866.02,6875.36,6849.38,6849.8,-16.56,-0.24%,0
"2026-02-12 11:00",6905.4,6906.77,6854.94,6866.36,-39.02,-0.57%,0
"2026-02-12 10:00",6949.47,6956.89,6904.98,6905.38,-40.55,-0.58%,0
"2026-02-12 09:00",6957.54,6973.22,6942.64,6945.93,4.46,+0.06%,0
"2026-02-11 16:00",6940.19,6941.47,6940.19,6941.47,1.79,+0.03%,0
"2026-02-11 15:00",6949.78,6951.9,6939.68,6939.68,-10.26,-0.15%,0
