Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 20:00",25070.75,25125.5,25025.25,25034.75,-36.25,-0.14%,26411
"2026-03-04 16:00",25156.5,25250,25044,25071,-67.,-0.27%,32657
"2026-03-04 12:00",25170,25217.75,25092.5,25138,-30.75,-0.12%,129990
"2026-03-04 08:00",24889.5,25181.5,24826,25168.75,279.5,+1.12%,281456
"2026-03-04 04:00",24754.25,24930.25,24720.5,24889.25,134.5,+0.54%,71496
"2026-03-04 00:00",24573.5,24771.25,24499,24754.75,180.5,+0.73%,39218
"2026-03-03 20:00",24676.5,24703.25,24525,24574.25,-101.75,-0.41%,34046
"2026-03-03 16:00",24710.75,24803.5,24630.75,24676,-33.75,-0.14%,32594
"2026-03-03 12:00",24641,24850,24640.75,24709.75,68.25,+0.28%,166416
"2026-03-03 08:00",24497,24724.75,24352,24641.5,145.5,+0.59%,334948
"2026-03-03 04:00",24454,24606.75,24370,24496,42.25,+0.17%,82195
"2026-03-03 00:00",24765.25,24800,24444,24453.75,-311.75,-1.26%,66594
"2026-03-02 20:00",24874,24883.25,24744,24765.5,-107.25,-0.43%,31982
"2026-03-02 16:00",25002.75,25011,24869,24872.75,-123.,-0.49%,20534
"2026-03-02 12:00",25066,25101,24946.75,24995.75,-70.,-0.28%,166218
"2026-03-02 08:00",24621.5,25076.5,24605,25065.75,445,+1.81%,259843
"2026-03-02 04:00",24628.5,24739.25,24592.75,24620.75,-8.25,-0.03%,52523
"2026-03-02 00:00",24675.75,24703,24477,24629,-48.25,-0.20%,59949
"2026-03-01 20:00",24864,24873.75,24672,24677.25,-184.5,-0.74%,24665
"2026-03-01 16:00",24682.5,24901.25,24635.5,24861.75,-91.,-0.36%,49665
"2026-02-27 12:00",24945,25022.75,24873,24952.75,7.25,+0.03%,163388
"2026-02-27 08:00",24871,25036.75,24782,24945.5,75,+0.30%,268815
"2026-02-27 04:00",25030,25045,24793.75,24870.5,-158.75,-0.63%,58770
"2026-02-27 00:00",25040,25098.75,24991.75,25029.25,-10.25,-0.04%,21551
"2026-02-26 20:00",24994.5,25061,24985.25,25039.5,47.75,+0.19%,13359
"2026-02-26 16:00",25024.25,25038,24954.75,24991.75,-36.25,-0.14%,26626
"2026-02-26 12:00",24935.25,25099,24888.75,25028,93.25,+0.37%,158377
"2026-02-26 08:00",25383,25398.75,24861.75,24934.75,-449.,-1.77%,340583
"2026-02-26 04:00",25379.25,25415.25,25345.25,25383.75,5.25,+0.02%,21405
"2026-02-26 00:00",25308,25401.5,25307,25378.5,70.5,+0.28%,19930
"2026-02-25 20:00",25315.5,25323.5,25283.25,25308,-8.25,-0.03%,11048
"2026-02-25 16:00",25388.25,25418.25,25264.75,25316.25,-145.5,-0.57%,29941
"2026-02-25 12:00",25352.75,25494.75,25334.25,25461.75,109.5,+0.43%,111450
"2026-02-25 08:00",25150.75,25361.75,25129.75,25352.25,202,+0.80%,221925
"2026-02-25 04:00",25082.75,25165.75,25065.5,25150.25,67.75,+0.27%,24295
"2026-02-25 00:00",25041.5,25090,25017.5,25082.5,41.75,+0.17%,14681
"2026-02-24 20:00",25103,25114.5,24994,25040.75,-62.75,-0.25%,18790
"2026-02-24 16:00",25016.25,25113.25,24992,25103.5,87.25,+0.35%,18065
"2026-02-24 12:00",25046,25078.75,24988.5,25016.25,-29.75,-0.12%,133600
"2026-02-24 08:00",24876.75,25076.25,24694.5,25046,168.75,+0.68%,285618
"2026-02-24 04:00",24847,24902.25,24795.25,24877.25,30.75,+0.12%,35241
"2026-02-24 00:00",24840.5,24868.5,24761,24846.5,5.5,+0.02%,21860
"2026-02-23 20:00",24822,24888.25,24816.75,24841,19,+0.08%,14550
"2026-02-23 16:00",24788,24835.5,24767,24822,35.75,+0.14%,19212
"2026-02-23 12:00",24744.5,24820.25,24678.75,24786.25,41.5,+0.17%,165790
"2026-02-23 08:00",24935,25040,24668,24744.75,-190.,-0.76%,310165
"2026-02-23 04:00",24985.5,25002.75,24883.75,24934.75,-48.75,-0.20%,28727
"2026-02-23 00:00",24838.5,25004,24832.25,24983.5,145.25,+0.58%,22727
"2026-02-22 20:00",24844.25,24863.5,24807.25,24838.25,-6.,-0.02%,20316
"2026-02-22 16:00",25033.75,25059.75,24832.5,24844.25,-233.25,-0.93%,35663
"2026-02-20 12:00",25034.25,25122.25,24928,25077.5,43.25,+0.17%,159576
"2026-02-20 08:00",24769.75,25139.5,24678.5,25034.25,265,+1.07%,357652
"2026-02-20 04:00",24935.75,24946.75,24722.5,24769.25,-168.,-0.67%,44846
"2026-02-20 00:00",24944,24984.75,24896.75,24937.25,-5.75,-0.02%,17505
"2026-02-19 20:00",24908.25,24948.5,24878,24943,36.25,+0.15%,12640
"2026-02-19 16:00",24837.75,24936,24826,24906.75,70.75,+0.28%,16974
"2026-02-19 12:00",24779.5,24871.5,24749,24836,56,+0.23%,141699
"2026-02-19 08:00",24855,24959.5,24763,24780,-73.5,-0.30%,271806
"2026-02-19 04:00",24892.5,24902.75,24798,24853.5,-40.75,-0.16%,37495
"2026-02-19 00:00",24996,25054,24850.5,24894.25,-102.25,-0.41%,24173
"2026-02-18 20:00",24972.75,25005.5,24940.75,24996.5,24,+0.10%,10017
