Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 23:00",25103.25,25104.5,25033,25034.75,-67.75,-0.27%,4822
"2026-03-04 22:00",25046.75,25106.75,25031.75,25102.5,54.25,+0.22%,5163
"2026-03-04 21:00",25090.75,25101.5,25025.25,25048.25,-43.,-0.17%,8207
"2026-03-04 20:00",25070.75,25125.5,25050,25091.25,20.25,+0.08%,8219
"2026-03-04 19:00",25209.75,25217.5,25044,25071,-137.25,-0.54%,16454
"2026-03-04 18:00",25171,25250,25160.25,25208.25,36.5,+0.15%,9637
"2026-03-04 17:00",25156.5,25190.75,25140,25171.75,33.75,+0.13%,6566
"2026-03-04 15:00",25120,25163.25,25092.5,25138,18,+0.07%,20382
"2026-03-04 14:00",25188.75,25195.25,25113.5,25120,-69.,-0.27%,52579
"2026-03-04 13:00",25192.75,25217.75,25180.25,25189,-3.5,-0.01%,23325
"2026-03-04 12:00",25170,25214.25,25140.5,25192.5,23.75,+0.09%,33704
"2026-03-04 11:00",25146.25,25181.5,25105,25168.75,23.25,+0.09%,37381
"2026-03-04 10:00",25127.25,25170.5,25051,25145.5,18,+0.07%,63091
"2026-03-04 09:00",24922.75,25148.5,24891.5,25127.5,208.25,+0.84%,101161
"2026-03-04 08:00",24889.5,24970.25,24826,24919.25,30,+0.12%,79823
"2026-03-04 07:00",24800.5,24930.25,24795.5,24889.25,88.5,+0.36%,26518
"2026-03-04 06:00",24806.25,24844.25,24720.5,24800.75,-4.75,-0.02%,14982
"2026-03-04 05:00",24842.75,24895,24801.25,24805.5,-37.,-0.15%,12635
"2026-03-04 04:00",24754.25,24866.25,24734.25,24842.5,87.75,+0.35%,17361
"2026-03-04 03:00",24648.25,24771.25,24621,24754.75,110.75,+0.45%,10506
"2026-03-04 02:00",24657,24688.25,24611.5,24644,-13.,-0.05%,10322
"2026-03-04 01:00",24570.25,24677.75,24535.5,24657,84.75,+0.34%,9779
"2026-03-04 00:00",24573.5,24590,24499,24572.25,-2.,-0.01%,8611
"2026-03-03 23:00",24590.75,24617.75,24532.5,24574.25,-14.,-0.06%,6447
"2026-03-03 22:00",24600.25,24644.75,24566,24588.25,-11.,-0.04%,7171
"2026-03-03 21:00",24637,24638,24525,24599.25,-37.75,-0.15%,10769
"2026-03-03 20:00",24676.5,24703.25,24588,24637,-39.,-0.16%,9659
"2026-03-03 19:00",24749,24772.25,24630.75,24676,-71.5,-0.29%,12662
"2026-03-03 18:00",24702,24803.5,24676,24747.5,44.5,+0.18%,12184
"2026-03-03 17:00",24710.75,24765,24669.75,24703,-6.75,-0.03%,7748
"2026-03-03 15:00",24757.25,24758.25,24691.5,24709.75,-47.5,-0.19%,14165
"2026-03-03 14:00",24787.25,24821.75,24718,24757.25,-30.,-0.12%,53513
"2026-03-03 13:00",24799.5,24850,24709.5,24787.25,-13.,-0.05%,49085
"2026-03-03 12:00",24641,24832.5,24640.75,24800.25,158.75,+0.64%,49653
"2026-03-03 11:00",24671,24712.25,24602.5,24641.5,-30.5,-0.12%,46662
"2026-03-03 10:00",24447.25,24724.75,24436.5,24672,225.25,+0.92%,82905
