Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-10-08,47194,47436,47114,47227,18,+0.04%,40,367
2025-10-07,47250,47490,47063,47209,-104.,-0.22%,74,370
2025-10-06,47381,47516,47055,47313,-75.,-0.16%,44,369
2025-10-03,47244,47665,47240,47388,225,+0.48%,68,382
2025-10-02,47074,47223,46902,47163,82,+0.17%,37,349
2025-10-01,46993,47170,46704,47081,31,+0.07%,45,348
2025-09-30,46972,47050,46838,47050,76,+0.16%,26,337
2025-09-29,46969,47140,46810,46974,58,+0.12%,45,332
2025-09-26,46705,47023,46597,46916,289,+0.62%,95,344
2025-09-25,46860,46893,46456,46627,-170.,-0.36%,63,308
2025-09-24,47110,47144,46777,46797,-199.,-0.42%,85,287
2025-09-23,47187,47404,46914,46996,-80.,-0.17%,38,276
2025-09-22,46964,47129,46730,47076,83,+0.18%,10,260
2025-09-19,47014,47078,46774,46993,130,+0.28%,7,257
2025-09-18,46983,47042,46685,46863,128,+0.27%,39,251
2025-09-17,46513,46958,46437,46735,236,+0.51%,206,240
2025-09-16,46499,46499,46408,46499,-137.,-0.29%,0,219
2025-09-15,46567,46677,46527,46636,68,+0.15%,12,219
2025-09-12,46632,46632,46562,46568,-287.,-0.61%,3,212
2025-09-11,46641,46855,46248,46855,600,+1.30%,16,215
2025-09-10,46255,46255,46143,46255,-218.,-0.47%,0,208
2025-09-09,46325,46473,46196,46473,180,+0.39%,9,208
2025-09-08,46118,46293,46051,46293,142,+0.31%,10,209
2025-09-05,46376,46500,45983,46151,-256.,-0.55%,28,209
2025-09-04,46000,46407,45962,46407,389,+0.85%,4,194
2025-09-03,46000,46018,45756,46018,-52.,-0.11%,2,192
2025-09-02,46357,46377,45745,46070,-250.,-0.54%,12,192
2025-08-29,46275,46320,46178,46320,-105.,-0.23%,1,190
2025-08-28,46425,46425,46230,46425,64,+0.14%,0,191
2025-08-27,46361,46361,46191,46361,153,+0.33%,0,191
2025-08-26,46208,46208,45925,46208,138,+0.30%,0,191
2025-08-25,46350,46350,46070,46070,-364.,-0.78%,2,191
2025-08-22,46460,46567,45486,46434,861,+1.89%,7,191
2025-08-21,45600,45600,45383,45573,-139.,-0.30%,23,189
2025-08-20,45712,45725,45575,45712,6,+0.01%,0,180
2025-08-19,45706,45894,45638,45706,1,0.00%,0,180
2025-08-18,45705,45705,45641,45705,-55.,-0.12%,0,180
2025-08-15,45760,45978,45725,45760,34,+0.07%,0,180
2025-08-14,45726,45726,45526,45726,-34.,-0.07%,0,180
2025-08-13,45255,45760,45255,45760,505,+1.12%,2,180
2025-08-12,44777,45257,44752,45255,466,+1.04%,5,179
2025-08-11,44789,45031,44734,44789,-190.,-0.42%,0,179
2025-08-08,44899,44994,44899,44979,213,+0.48%,11,179
2025-08-07,44766,45200,44609,44766,-233.,-0.52%,0,173
2025-08-06,44999,45071,44837,44999,79,+0.18%,0,173
2025-08-05,44920,45022,44748,44920,-60.,-0.13%,0,173
2025-08-04,45000,45000,44338,44980,596,+1.34%,1,173
2025-08-01,44325,44384,44168,44384,-620.,-1.38%,1,174
2025-07-31,45004,45444,44915,45004,-329.,-0.73%,0,174
2025-07-30,45105,45333,45105,45333,-180.,-0.40%,1,174
2025-07-29,45513,45513,45462,45513,-203.,-0.44%,0,173
2025-07-28,45716,45822,45644,45716,-70.,-0.15%,0,173
2025-07-25,45786,45786,45551,45786,182,+0.40%,0,173
2025-07-24,45604,45604,45592,45604,-314.,-0.68%,0,173
2025-07-23,45469,45918,45469,45918,507,+1.12%,1,173
2025-07-22,45175,45411,45146,45411,164,+0.36%,1,172
2025-07-21,45408,45408,45218,45247,14,+0.03%,1,172
2025-07-18,45233,45233,45141,45233,-184.,-0.41%,0,172
2025-07-17,45238,45417,45075,45417,261,+0.58%,10,172
2025-07-16,45156,45156,44691,45156,212,+0.47%,0,162
2025-07-15,45300,45340,44903,44944,-414.,-0.91%,2,162
2025-07-14,45000,45358,45000,45358,93,+0.21%,1,162
2025-07-11,45265,45265,45201,45265,-309.,-0.68%,0,161
2025-07-10,45574,45574,45252,45574,189,+0.42%,0,161
2025-07-09,45368,45385,45108,45385,207,+0.46%,3,21
2025-07-08,45178,45178,45162,45178,-165.,-0.36%,0,19
2025-07-07,45343,45343,45343,45343,-421.,-0.92%,0,19
2025-07-03,45600,45768,45439,45764,322,+0.71%,10,19
2025-07-02,45473,45554,45335,45442,-31.,-0.07%,2,19
2025-07-01,45054,45473,44974,45473,418,+0.93%,1,19
2025-06-30,45055,45055,45055,45055,264,+0.59%,0,19
2025-06-27,44800,44800,44791,44791,407,+0.92%,5,19
2025-06-26,44338,44384,43960,44384,412,+0.94%,10,19
2025-06-25,43900,43972,43868,43972,-184.,-0.42%,10,29
2025-06-24,44156,44156,44156,44156,594,+1.36%,0,19
2025-06-23,43200,43562,42954,43562,388,+0.90%,3,19
2025-06-20,43005,43182,42883,43174,-13.,-0.03%,1,20
2025-06-18,43187,43330,43187,43187,-40.,-0.09%,0,19
2025-06-17,43227,43227,43227,43227,-309.,-0.71%,0,19
2025-06-16,43536,43536,43536,43536,330,+0.76%,0,19
2025-06-13,43206,43206,43206,43206,-783.,-1.78%,0,19
2025-06-12,43989,43989,43810,43989,82,+0.19%,0,19
2025-06-11,43907,43953,43907,43907,-3.,-0.01%,0,19
2025-06-10,43910,43910,43910,43910,115,+0.26%,0,19
2025-06-09,43795,43795,43755,43795,-13.,-0.03%,0,19
2025-06-06,43808,43808,43808,43808,440,+1.01%,0,19
2025-06-05,43368,43368,43368,43368,-131.,-0.30%,0,19
2025-06-04,43499,43499,43499,43499,-98.,-0.22%,0,19
2025-06-03,43597,43597,43597,43597,224,+0.52%,0,19
2025-06-02,43373,43373,43373,43373,80,+0.18%,0,19
2025-05-30,43293,43293,43293,43293,27,+0.06%,0,19
2025-05-29,43266,43568,43027,43266,110,+0.25%,3,19
2025-05-28,43156,43156,43156,43156,-240.,-0.55%,0,16
2025-05-27,43396,43396,43396,43396,745,+1.75%,2,16
2025-05-23,42651,42651,42481,42651,-260.,-0.61%,0,14
2025-05-22,42911,42991,42904,42911,-28.,-0.07%,0,14
2025-05-21,42939,42939,42892,42939,-858.,-1.96%,0,14
2025-05-20,43797,43797,43619,43797,-90.,-0.21%,0,14
2025-05-19,43887,43887,43445,43887,172,+0.39%,3,14
2025-05-16,43715,43715,43715,43715,396,+0.91%,5,11
2025-05-15,43319,43319,42921,43319,268,+0.62%,0,6
2025-05-14,43051,43051,43051,43051,-101.,-0.23%,1,6
2025-05-13,43152,43152,43152,43152,-265.,-0.61%,0,5
2025-05-12,43417,43417,43417,43417,1207,+2.86%,5,5
2025-05-09,42210,42210,42210,42210,-145.,-0.34%,0,1
2025-05-08,42355,42420,42355,42355,254,+0.60%,0,1
2025-05-07,42101,42101,42101,42101,296,+0.71%,0,1
2025-05-06,41805,41805,41805,41805,-403.,-0.95%,0,1
2025-05-05,42208,42208,42162,42208,-108.,-0.26%,0,1
2025-05-02,42316,42316,42316,42316,572,+1.37%,0,1
2025-05-01,41744,41744,41744,41744,94,+0.23%,0,1
2025-04-30,41650,41650,41650,41650,78,+0.19%,0,1
2025-04-29,41572,41572,41572,41572,290,+0.70%,0,1
