Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-04 23:00",48673,48675,48586,48589,-85.,-0.17%,781
"2026-03-04 22:00",48600,48681,48589,48674,72,+0.15%,1831
"2026-03-04 21:00",48668,48684,48559,48602,-66.,-0.14%,2490
"2026-03-04 20:00",48663,48711,48622,48668,6,+0.01%,1432
"2026-03-04 19:00",48832,48834,48634,48662,-171.,-0.35%,3150
"2026-03-04 18:00",48802,48886,48789,48833,30,+0.06%,1940
"2026-03-04 17:00",48788,48826,48754,48803,-8.,-0.02%,1043
"2026-03-04 15:00",48781,48830,48745,48811,28,+0.06%,2834
"2026-03-04 14:00",48862,48887,48778,48783,-78.,-0.16%,10317
"2026-03-04 13:00",48826,48890,48810,48861,39,+0.08%,4144
"2026-03-04 12:00",48884,48903,48790,48822,-62.,-0.13%,5245
"2026-03-04 11:00",48860,48910,48773,48884,22,+0.05%,5559
"2026-03-04 10:00",48852,48916,48761,48862,7,+0.01%,11647
"2026-03-04 09:00",48567,48901,48535,48855,295,+0.61%,18515
"2026-03-04 08:00",48684,48814,48401,48560,-125.,-0.26%,22261
"2026-03-04 07:00",48534,48743,48529,48685,153,+0.32%,7237
"2026-03-04 06:00",48570,48628,48452,48532,-36.,-0.07%,5075
"2026-03-04 05:00",48647,48723,48568,48568,-80.,-0.16%,3981
"2026-03-04 04:00",48506,48676,48500,48648,140,+0.29%,6814
"2026-03-04 03:00",48379,48514,48337,48508,129,+0.27%,4776
"2026-03-04 02:00",48446,48470,48350,48379,-64.,-0.13%,5947
"2026-03-04 01:00",48366,48474,48305,48443,73,+0.15%,2857
"2026-03-04 00:00",48356,48406,48266,48370,10,+0.02%,1604
"2026-03-03 23:00",48395,48429,48325,48360,-28.,-0.06%,1098
"2026-03-03 22:00",48380,48426,48353,48388,7,+0.01%,1492
"2026-03-03 21:00",48391,48395,48291,48381,-17.,-0.04%,1619
"2026-03-03 20:00",48425,48456,48318,48398,-25.,-0.05%,2490
"2026-03-03 19:00",48509,48543,48354,48423,-85.,-0.18%,3463
"2026-03-03 18:00",48470,48594,48431,48508,42,+0.09%,3356
"2026-03-03 17:00",48475,48550,48436,48466,-23.,-0.05%,1533
"2026-03-03 15:00",48565,48573,48460,48489,-77.,-0.16%,2719
"2026-03-03 14:00",48673,48717,48499,48566,-107.,-0.22%,12723
"2026-03-03 13:00",48614,48755,48503,48673,61,+0.13%,12971
"2026-03-03 12:00",48361,48657,48356,48612,253,+0.52%,12112
"2026-03-03 11:00",48275,48406,48222,48359,84,+0.17%,11056
"2026-03-03 10:00",47860,48315,47821,48275,416,+0.87%,20935
"2026-03-03 09:00",47857,47956,47681,47859,-1.,0.00%,30005
"2026-03-03 08:00",48079,48197,47810,47860,-218.,-0.45%,31717
"2026-03-03 07:00",48282,48294,48018,48078,-204.,-0.42%,9917
"2026-03-03 06:00",48107,48313,48097,48282,172,+0.36%,7967
"2026-03-03 05:00",48094,48162,47951,48110,17,+0.04%,7894
"2026-03-03 04:00",48159,48189,48025,48093,-63.,-0.13%,8236
"2026-03-03 03:00",48152,48279,48136,48156,8,+0.02%,9071
"2026-03-03 02:00",48436,48442,48137,48148,-290.,-0.60%,10237
"2026-03-03 01:00",48526,48554,48416,48438,-88.,-0.18%,4398
"2026-03-03 00:00",48577,48609,48509,48526,-48.,-0.10%,2348
"2026-03-02 23:00",48597,48618,48547,48574,-21.,-0.04%,1996
"2026-03-02 22:00",48681,48701,48580,48595,-89.,-0.18%,1551
"2026-03-02 21:00",48700,48722,48647,48684,-12.,-0.02%,1538
"2026-03-02 20:00",48719,48730,48627,48696,-19.,-0.04%,2526
"2026-03-02 19:00",48820,48861,48715,48715,-104.,-0.21%,1755
"2026-03-02 18:00",48888,48904,48812,48819,-64.,-0.13%,1258
"2026-03-02 17:00",48928,48935,48853,48883,-44.,-0.09%,1177
"2026-03-02 15:00",48943,48956,48897,48927,-14.,-0.03%,2343
"2026-03-02 14:00",49057,49071,48811,48941,-118.,-0.24%,16702
"2026-03-02 13:00",48876,49121,48875,49059,180,+0.37%,7471
"2026-03-02 12:00",49006,49038,48877,48879,-128.,-0.26%,5508
"2026-03-02 11:00",48942,49046,48912,49007,64,+0.13%,5869
"2026-03-02 10:00",48855,49022,48725,48943,86,+0.18%,13473
"2026-03-02 09:00",48726,48972,48685,48857,131,+0.27%,19825
