Date,Type,Entry Time,Entry Price,Exit Price,Stop Loss,Take Profit,PnL,Reason,Capital,Cumulative Equity
2025-03-14,Short,2025-03-14 12:45:00,5609.39,5625.36939,5625.36939,5504.65,-1000.0,Stop Loss,102107.97160844355,102107.97160844355
2025-03-21,Long,2025-03-21 11:30:00,5628.68,5618.25132,5618.25132,5677.39,-1000.0,Stop Loss,101107.97160844355,101107.97160844355
2025-03-21,Long,2025-03-21 16:45:00,5641.82,5667.56,5631.628180000001,5677.39,2525.554807679391,End of Day,103633.52641612294,103633.52641612294
2025-03-24,Short,2025-03-24 15:30:00,5754.8,5766.1448,5766.1448,5666.95,-1000.0,Stop Loss,102633.52641612294,102633.52641612294
2025-03-25,Short,2025-03-25 12:30:00,5778.67,5764.84,5787.12867,5764.84,1635.0088134422967,Take Profit,104268.53522956524,104268.53522956524
2025-03-27,Long,2025-03-27 12:45:00,5708.93,5701.92107,5701.92107,5724.16,-1000.0,Stop Loss,103268.53522956524,103268.53522956524
2025-03-27,Long,2025-03-27 15:45:00,5701.89,5693.70811,5693.70811,5724.16,-1000.0,Stop Loss,102268.53522956524,102268.53522956524
2025-03-31,Long,2025-03-31 12:45:00,5560.32,5553.699680000001,5553.699680000001,5587.02,-1000.0,Stop Loss,101268.53522956524,101268.53522956524
2025-04-04,Long,2025-04-04 11:30:00,5182.93,5176.03707,5176.03707,5396.61,-1000.0,Stop Loss,100268.53522956524,100268.53522956524
2025-04-04,Long,2025-04-04 14:15:00,5163.15,5131.58685,5131.58685,5396.61,-1000.0,Stop Loss,99268.53522956524,99268.53522956524
2025-04-07,Long,2025-04-07 10:30:00,5004.96,4975.87504,4975.87504,5074.13,-1000.0,Stop Loss,98268.53522956524,98268.53522956524
2025-04-08,Short,2025-04-08 13:30:00,5197.96,5041.68,5253.10796,5041.68,2833.8310247559307,Take Profit,101102.36625432117,101102.36625432117
2025-04-21,Long,2025-04-21 17:00:00,5110.46,5158.2,5102.99954,5284.61,6399.069226294122,End of Day,107501.43548061528,107501.43548061528
2025-04-22,Short,2025-04-22 15:45:00,5243.44,5291.72344,5291.72344,5157.24,-1000.0,Stop Loss,106501.43548061528,106501.43548061528
2025-04-24,Short,2025-04-24 15:45:00,5466.75,5483.786749999999,5483.786749999999,5356.17,-1000.0,Stop Loss,105501.43548061528,105501.43548061528
2025-04-28,Long,2025-04-28 15:45:00,5494.25,5528.11,5474.7257500000005,5528.11,1734.2535564746695,Take Profit,107235.68903708995,107235.68903708995
2025-05-01,Short,2025-05-01 16:30:00,5621.02,5604.14,5655.851019999999,5564.52,484.62548613278426,End of Day,107720.31452322274,107720.31452322274
2025-05-06,Long,2025-05-06 13:30:00,5623.92,5603.50608,5603.50608,5651.28,-999.9999999999999,Stop Loss,106720.31452322274,106720.31452322274
2025-05-06,Long,2025-05-06 16:45:00,5621.68,5606.91,5600.09832,5651.28,-684.3767491687523,End of Day,106035.937774054,106035.937774054
2025-05-08,Short,2025-05-08 16:45:00,5694.44,5663.94,5712.20444,5630.36,1716.913114063746,End of Day,107752.85088811774,107752.85088811774
2025-05-13,Short,2025-05-13 15:15:00,5897.66,5905.0176599999995,5905.0176599999995,5844.17,-1000.0,Stop Loss,106752.85088811774,106752.85088811774
2025-05-13,Short,2025-05-13 16:45:00,5886.55,5886.55,5906.20655,5844.17,-0.0,End of Day,106752.85088811774,106752.85088811774
2025-05-15,Short,2025-05-15 16:45:00,5907.76,5916.93,5919.71776,5884.3,-766.8660351102458,End of Day,105985.9848530075,105985.9848530075
2025-05-19,Long,2025-05-19 12:45:00,5935.35,5958.62,5921.69465,5958.62,1704.0939997875946,Take Profit,107690.0788527951,107690.0788527951
2025-05-21,Long,2025-05-21 13:00:00,5930.61,5913.61939,5913.61939,5953.06,-1000.0,Stop Loss,106690.0788527951,106690.0788527951
2025-05-23,Long,2025-05-23 16:45:00,5803.57,5802.82,5785.74643,5842.04,-42.079112097072496,End of Day,106647.99974069803,106647.99974069803
2025-06-10,Short,2025-06-10 14:45:00,6021.89,6033.68189,6033.68189,5996.35,-1000.0,Stop Loss,105647.99974069803,105647.99974069803
